"","County.Pop","Public.Supply","Domestic.Self","Industry","Irrigation","Irrigation.Crop","Irrigation.Golf","Livestock","Aquaculture","Mining","Thermoelectric","T.O","T.C","Total","County","Percent","Per.Cap"
"1",1448.905,156.61,3.5,0.05,6.6,NA,NA,0.32,0,4.68,0,0,0,171.76,"Alameda",0.00522801333666933,0.118544694096576
"2",1.159,0.08,0.01,0.04,14.95,NA,NA,0.03,0,0,0,0,0,15.11,"Alpine",0.000459916636685337,13.037100949094
"3",38.471,6,0.13,0.1,11.14,NA,NA,0.32,5.97,0.4,0,0,0,24.06,"Amador",0.00073233582254462,0.625406150087079
"4",214.185,40.68,9.48,1.27,716.12,NA,NA,0.42,21.59,0,0,0,0,789.56,"Butte",0.0240325466354252,3.68634591591381
"5",46.871,6.59,3.98,1.78,4.28,NA,NA,0.47,0.07,0.12,0,0,0,17.29,"Calaveras",0.000526271254023129,0.368884811503915
"6",21.095,1.6,1.24,4.09,909.05,NA,NA,0.28,0,0,0,0,0,916.26,"Colusa",0.0278890282944611,43.4349371889073
"7",1017.787,173.33,28.87,0.13,111.37,NA,NA,0.49,0,0,15.19,0,15.19,329.38,"Contra Costa",0.0100256347975788,0.323623705156383
"8",28.705,2.38,0.6,0.7,4.77,NA,NA,0.46,0,0.05,0,0,0,8.96,"Del Norte",0.000272723564837897,0.312140742031005
"9",176.841,20.95,16.48,0,8.21,NA,NA,0.16,0,0.1,0,0,0,45.9,"El Dorado",0.00139709951183699,0.259555193648532
"10",877.584,476.2,40.07,0.17,2698.72,NA,NA,13.26,22.46,0.95,0,0,0,3251.83,"Fresno",0.0989788694025467,3.70543446553264
"11",27.759,3.5,2.31,2.82,729.99,NA,NA,2.14,0,0,0,0,0,740.76,"Glenn",0.0225471772197902,26.685399329947
"12",128.376,13.02,2.92,9.73,34.11,NA,NA,2.07,0,0.15,0,0,0,62,"Humboldt",0.00188714966740509,0.482956315822272
"13",155.823,30.33,0.13,1.17,2097.66,NA,NA,6.35,7.27,1.43,0.6,0,0.6,2144.94,"Imperial",0.0652874646387722,13.7652336304653
"14",18.156,3.15,2.83,0.01,61.09,NA,NA,0.28,12.58,0.49,0,0,0,80.43,"Inyo",0.00244812012499018,4.42994051553206
"15",756.825,311.28,19.76,1.48,2223.75,NA,NA,9.22,4.12,5.67,0,0,0,2575.28,"Kern",0.0783861096044352,3.40274171704159
"16",143.42,55.33,6,0.03,1305.7,NA,NA,13.35,0,0,0,0,0,1380.41,"Kings",0.0420167785868171,9.62494770603821
"17",65.147,6.06,1.04,0.29,37.55,NA,NA,0.15,0,0.06,0,0,0,45.15,"Lake",0.00137427108844096,0.693048029840207
"18",34.751,3.49,4.04,7.28,213.93,NA,NA,0.77,17.28,0.04,0,0,0,246.83,"Lassen",0.00751298632912255,7.10281718511698
"19",9935.475,1859.63,19.1,11.67,60.83,NA,NA,0.3,0.03,0.55,3.9,0,3.9,1956.01,"Los Angeles",0.0595368325958231,0.196871312141594
"20",142.788,51.85,9.68,0.04,767.6,NA,NA,5.61,0.01,0,0,0,0,834.79,"Madera",0.0254092527556951,5.84635963806482
"21",246.96,30.8,0.81,0,3.8,NA,NA,1.23,0,0.06,0,0,0,36.7,"Marin",0.00111707085151237,0.148607061872368
"22",18.069,4.53,2.24,0.01,2.09,NA,NA,0.37,0,0,0,0,0,9.24,"Mariposa",0.000281246176239081,0.511373069898722
"23",88.161,13.13,3.08,0.12,40.97,NA,NA,0.45,0.15,0.1,0,0,0,58,"Mendocino",0.0017653980759596,0.657887274418394
"24",241.706,109.14,15.57,0.07,1439.68,NA,NA,23.48,35.66,0.61,0,0,0,1624.21,"Merced",0.0494375380854197,6.7197752641639
"25",9.524,1,1.01,0.25,306.4,NA,NA,1.16,3.96,0.02,0,0,0,313.8,"Modoc",0.00955141234889867,32.9483410331793
"26",12.509,3.09,1.04,0,194.85,NA,NA,0.11,11.94,0.05,0,0,0,211.08,"Mono",0.00642483148057849,16.8742505396115
"27",412.104,87.62,13.14,0.12,413.22,NA,NA,1.24,0,0.73,0,0,0,516.07,"Monterey",0.0157080859493185,1.2522809776173
"28",132.764,18.11,1.33,0,31.45,NA,NA,0.16,0.59,0.11,0,0,0,51.75,"Napa",0.00157516121432602,0.389789400741165
"29",98.394,17.27,11.97,0,58.94,NA,NA,0.11,0,0.28,0,0,0,88.57,"Nevada",0.00269588461358176,0.900156513608553
"30",2988.072,383.75,5.05,0.32,12.81,NA,NA,0.03,0,0,0,0,0,401.96,"Orange",0.0122348174243573,0.134521524247073
"31",317.028,68.68,8.39,0,130.81,NA,NA,0.48,0.04,0.37,0,0,0,208.77,"Placer",0.00635451993651872,0.65852227563496
"32",21.477,2.91,0.78,2.71,70.3,NA,NA,0.25,2.21,0.05,0,0,0,79.21,"Plumas",0.00241098588959931,3.6881314895004
"33",1946.419,435.46,27.82,1.17,701.73,NA,NA,9.5,69.17,12.6,0,0,0,1257.45,"Riverside",0.0382741346657827,0.646032534618702
"34",1363.482,296.94,3.39,0,408.83,NA,NA,2.39,57.43,5.35,0,0,0,774.33,"Sacramento",0.0235689774509965,0.567906286991688
"35",55.936,13.49,3.46,0.03,50.71,NA,NA,0.73,0,0.86,0,0,0,69.28,"San Benito",0.00210873756383588,1.23855835240275
"36",1963.535,363.78,17.67,2.22,131.59,NA,NA,14.74,2.53,4.86,29.89,0,29.89,567.28,"San Bernardino",0.0172668106987993,0.28890750610506
"37",2933.462,429.96,3.04,0.3,175.44,NA,NA,1.25,0.07,2.04,0,0,0,612.1,"San Diego",0.0186310372809461,0.208661301901985
"38",739.426,70.75,3.17,0,0,NA,NA,0,6.32,0.12,0,0,0,80.36,"San Francisco",0.00244598947213989,0.108678894169261
"39",664.116,117.61,17.1,0,1319.08,NA,NA,10.45,13.44,0,0,0,0,1477.68,"San Joaquin",0.0449774729117928,2.22503297616681
"40",255.478,36.19,4.17,1.17,122.02,NA,NA,1.41,5.76,0,0,0,0,170.72,"San Luis Obispo",0.0051963579228935,0.668237578186771
"41",699.61,144.3,3.36,1.07,2.19,NA,NA,0.05,0,0,0,0,0,150.97,"San Mateo",0.00459520944013139,0.215791655350838
"42",400.762,55.01,4.03,0.49,171.73,NA,NA,0.93,0,1.22,0,0,0,233.41,"Santa Barbara",0.00710450973982294,0.582415498475404
"43",1699.052,231.86,15,0.15,47.57,NA,NA,0.53,0.1,0.4,0,0,0,295.61,"Santa Clara",0.0089977469868003,0.173985257661331
"44",249.666,46.59,14.4,0.13,11.48,NA,NA,0.09,0,0.47,0,0,0,73.16,"Santa Cruz",0.00222683660753801,0.293031490070734
"45",179.904,45.48,3.74,14.22,143.99,NA,NA,0.5,27.03,0.57,0,0,0,235.53,"Shasta",0.00716903808328905,1.30919823906083
"46",3.434,1.02,0.89,0,61.39,NA,NA,0.11,0,0,0,0,0,63.41,"Sierra",0.00193006710338963,18.4653465346535
"47",45.259,6.54,5.93,0.92,358.73,NA,NA,1.11,11.45,0.05,0,0,0,384.73,"Siskiyou",0.0117103724442058,8.50062970900815
"48",411.593,65.6,1.71,0.07,398.78,NA,NA,1.07,0,0,0,0,0,467.23,"Solano",0.014221499017769,1.13517479646155
"49",466.477,48.51,7.94,0.45,46.09,NA,NA,3.66,6.41,0.6,0,0,0,113.66,"Sonoma",0.00345957147092359,0.243656171686921
"50",505.505,246.77,44.37,0.19,1146.96,NA,NA,18.16,0.46,0.49,0,0,0,1457.4,"Stanislaus",0.0443601923431642,2.88305753652288
"51",88.876,18.89,6.47,0,807.47,NA,NA,0.21,0.04,0,0,0,0,833.08,"Sutter",0.0253572039503521,9.37350915882803
"52",61.197,7.04,10.61,1.96,258.63,NA,NA,1.46,258.49,0.26,0,0,0,538.45,"Tehama",0.016389286103456,8.7986339199634
"53",13.622,1.12,0.94,1.04,3.15,NA,NA,0.08,15.13,0.1,0,0,0,21.56,"Trinity",0.000656241077891189,1.58273381294964
"54",410.874,166.07,28.77,0.12,2038.12,NA,NA,40.96,0.01,0.91,0,0,0,2274.96,"Tulare",0.0692450001187078,5.53687991939135
"55",59.38,13.85,4.09,0,3.79,NA,NA,0.36,11.69,0.06,0,0,0,33.84,"Tuolumne",0.00103001846362884,0.56988885146514
"56",796.106,126.68,1.34,0.09,201.85,NA,NA,0.18,14.11,0,0,0,0,344.25,"Ventura",0.0104782463387775,0.432417291164744
"57",184.932,21.27,12.2,0,702.63,NA,NA,0.45,0.02,2.21,0,0,0,738.78,"Yolo",0.0224869101820247,3.99487379144767
"58",67.153,14.21,3.56,0,327.08,NA,NA,0.72,0.02,2.89,0,0,0,348.48,"Yuba",0.0106069986467311,5.18934373743541
